id,playerID,award,year,league,tie,notes,createdAt,updatedAt
1,larusto01,BBWAA Manager of the Year,1983,AL,,,,
2,lasorto01,BBWAA Manager of the Year,1983,NL,,,,
3,andersp01,BBWAA Manager of the Year,1984,AL,,,,
4,freyji99,BBWAA Manager of the Year,1984,NL,,,,
5,coxbo01,BBWAA Manager of the Year,1985,AL,,,,
6,herzowh01,BBWAA Manager of the Year,1985,NL,,,,
7,mcnamjo99,BBWAA Manager of the Year,1986,AL,,,,
8,lanieha01,BBWAA Manager of the Year,1986,NL,,,,
9,andersp01,BBWAA Manager of the Year,1987,AL,,,,
10,rodgebu01,BBWAA Manager of the Year,1987,NL,,,,
11,larusto01,BBWAA Manager of the Year,1988,AL,,,,
12,lasorto01,BBWAA Manager of the Year,1988,NL,,,,
13,robinfr02,BBWAA Manager of the Year,1989,AL,,,,
14,zimmedo01,BBWAA Manager of the Year,1989,NL,,,,
15,torboje01,BBWAA Manager of the Year,1990,AL,,,,
16,leylaji99,BBWAA Manager of the Year,1990,NL,,,,
17,kellyto01,BBWAA Manager of the Year,1991,AL,,,,
18,coxbo01,BBWAA Manager of the Year,1991,NL,,,,
19,larusto01,BBWAA Manager of the Year,1992,AL,,,,
20,leylaji99,BBWAA Manager of the Year,1992,NL,,,,
21,lamonge01,BBWAA Manager of the Year,1993,AL,,,,
22,bakerdu01,BBWAA Manager of the Year,1993,NL,,,,
23,showabu99,BBWAA Manager of the Year,1994,AL,,,,
24,aloufe01,BBWAA Manager of the Year,1994,NL,,,,
25,pinielo01,BBWAA Manager of the Year,1995,AL,,,,
26,baylodo01,BBWAA Manager of the Year,1995,NL,,,,
27,oatesjo01,BBWAA Manager of the Year,1996,AL,Y,,,
28,torrejo01,BBWAA Manager of the Year,1996,AL,Y,,,
29,bochybr01,BBWAA Manager of the Year,1996,NL,,,,
30,johnsda02,BBWAA Manager of the Year,1997,AL,,,,
31,bakerdu01,BBWAA Manager of the Year,1997,NL,,,,
32,torrejo01,BBWAA Manager of the Year,1998,AL,,,,
33,dierkla01,BBWAA Manager of the Year,1998,NL,,,,
34,williji03,BBWAA Manager of the Year,1999,AL,,,,
35,mckeoja99,BBWAA Manager of the Year,1999,NL,,,,
36,manueje01,BBWAA Manager of the Year,2000,AL,,,,
37,bakerdu01,BBWAA Manager of the Year,2000,NL,,,,
38,pinielo01,BBWAA Manager of the Year,2001,AL,,,,
39,bowala01,BBWAA Manager of the Year,2001,NL,,,,
40,sciosmi01,BBWAA Manager of the Year,2002,AL,,,,
41,larusto01,BBWAA Manager of the Year,2002,NL,,,,
42,penato01,BBWAA Manager of the Year,2003,AL,,,,
43,mckeoja99,BBWAA Manager of the Year,2003,NL,,,,
44,showabu99,BBWAA Manager of the Year,2004,AL,,,,
45,coxbo01,BBWAA Manager of the Year,2004,NL,,,,
46,guilloz01,BBWAA Manager of the Year,2005,AL,,,,
47,coxbo01,BBWAA Manager of the Year,2005,NL,,,,
48,leylaji99,BBWAA Manager of the Year,2006,AL,,,,
49,girarjo01,BBWAA Manager of the Year,2006,NL,,,,
50,wedgeer01,BBWAA Manager of the Year,2007,AL,,,,
51,melvibo01,BBWAA Manager of the Year,2007,NL,,,,
52,maddojo99,BBWAA Manager of the Year,2008,AL,,,,
53,pinielo01,BBWAA Manager of the Year,2008,NL,,,,
54,sciosmi01,BBWAA Manager of the Year,2009,AL,,,,
55,tracyji01,BBWAA Manager of the Year,2009,NL,,,,
56,gardero01,BBWAA Manager of the Year,2010,AL,,,,
57,blackbu02,BBWAA Manager of the Year,2010,NL,,,,
58,maddojo99,BBWAA Manager of the Year,2011,AL,,,,
59,gibsoki01,BBWAA Manager of the Year,2011,NL,,,,
60,melvibo01,BBWAA Manager of the Year,2012,AL,,,,
61,johnsda02,BBWAA Manager of the Year,2012,NL,,,,
62,francte01,BBWAA Manager of the Year,2013,AL,,,,
63,hurdlcl01,BBWAA Manager of the Year,2013,NL,,,,
64,mccarjo99,TSN Manager of the Year,1936,ML,,,,
65,mckecbi01,TSN Manager of the Year,1937,ML,,,,
66,mccarjo99,TSN Manager of the Year,1938,ML,,,,
67,durocle01,TSN Manager of the Year,1939,ML,,,,
68,mckecbi01,TSN Manager of the Year,1940,ML,,,,
69,southbi01,TSN Manager of the Year,1941,ML,,,,
70,southbi01,TSN Manager of the Year,1942,ML,,,,
71,mccarjo99,TSN Manager of the Year,1943,ML,,,,
72,sewellu01,TSN Manager of the Year,1944,ML,,,,
73,bluegos01,TSN Manager of the Year,1945,ML,,,,
74,dyered01,TSN Manager of the Year,1946,ML,,,,
75,harribu01,TSN Manager of the Year,1947,ML,,,,
76,meyerbi01,TSN Manager of the Year,1948,ML,,,,
77,stengca01,TSN Manager of the Year,1949,ML,,,,
78,rolfere01,TSN Manager of the Year,1950,ML,,,,
79,durocle01,TSN Manager of the Year,1951,ML,,,,
80,stanked01,TSN Manager of the Year,1952,ML,,,,
81,stengca01,TSN Manager of the Year,1953,ML,,,,
82,durocle01,TSN Manager of the Year,1954,ML,,,,
83,alstowa01,TSN Manager of the Year,1955,ML,,,,
84,tebbebi01,TSN Manager of the Year,1956,ML,,,,
85,hutchfr01,TSN Manager of the Year,1957,ML,,,,
86,stengca01,TSN Manager of the Year,1958,ML,,,,
87,alstowa01,TSN Manager of the Year,1959,ML,,,,
88,murtada01,TSN Manager of the Year,1960,ML,,,,
89,houkra01,TSN Manager of the Year,1961,ML,,,,
90,rignebi01,TSN Manager of the Year,1962,ML,,,,
91,alstowa01,TSN Manager of the Year,1963,ML,,,,
92,keanejo99,TSN Manager of the Year,1964,ML,,,,
93,melesa01,TSN Manager of the Year,1965,ML,,,,
94,bauerha01,TSN Manager of the Year,1966,ML,,,,
95,willidi02,TSN Manager of the Year,1967,ML,,,,
96,smithma01,TSN Manager of the Year,1968,ML,,,,
97,hodgegi01,TSN Manager of the Year,1969,ML,,,,
98,murtada01,TSN Manager of the Year,1970,ML,,,,
99,foxch01,TSN Manager of the Year,1971,ML,,,,
100,tannech01,TSN Manager of the Year,1972,ML,,,,
101,mauchge01,TSN Manager of the Year,1973,ML,,,,
102,virdobi01,TSN Manager of the Year,1974,ML,,,,
103,johnsda01,TSN Manager of the Year,1975,ML,,,,
104,ozarkda99,TSN Manager of the Year,1976,ML,,,,
105,weaveea99,TSN Manager of the Year,1977,ML,,,,
106,bambege01,TSN Manager of the Year,1978,ML,,,,
107,weaveea99,TSN Manager of the Year,1979,ML,,,,
108,virdobi01,TSN Manager of the Year,1980,ML,,,,
109,martibi02,TSN Manager of the Year,1981,ML,,,,
110,herzowh01,TSN Manager of the Year,1982,ML,,,,
111,larusto01,TSN Manager of the Year,1983,ML,,,,
112,freyji99,TSN Manager of the Year,1984,ML,,,,
113,coxbo01,TSN Manager of the Year,1985,ML,,,,
114,lanieha01,TSN Manager of the Year,1986,NL,,,,
115,mcnamjo99,TSN Manager of the Year,1986,AL,,,,
116,andersp01,TSN Manager of the Year,1987,AL,,,,
117,rodgebu01,TSN Manager of the Year,1987,NL,,,,
118,larusto01,TSN Manager of the Year,1988,AL,,,,
119,leylaji99,TSN Manager of the Year,1988,NL,,,,
120,robinfr02,TSN Manager of the Year,1989,AL,,,,
121,zimmedo01,TSN Manager of the Year,1989,NL,,,,
122,leylaji99,TSN Manager of the Year,1990,NL,,,,
123,torboje01,TSN Manager of the Year,1990,AL,,,,
124,coxbo01,TSN Manager of the Year,1991,NL,,,,
125,kellyto01,TSN Manager of the Year,1991,AL,,,,
126,larusto01,TSN Manager of the Year,1992,AL,,,,
127,leylaji99,TSN Manager of the Year,1992,NL,,,,
128,coxbo01,TSN Manager of the Year,1993,NL,,,,
129,oatesjo01,TSN Manager of the Year,1993,AL,,,,
130,aloufe01,TSN Manager of the Year,1994,NL,,,,
131,showabu99,TSN Manager of the Year,1994,AL,,,,
132,baylodo01,TSN Manager of the Year,1995,NL,,,,
133,hargrmi01,TSN Manager of the Year,1995,AL,,,,
134,bochybr01,TSN Manager of the Year,1996,NL,,,,
135,oatesjo01,TSN Manager of the Year,1996,AL,,,,
136,bakerdu01,TSN Manager of the Year,1997,NL,,,,
137,johnsda02,TSN Manager of the Year,1997,AL,,,,
138,bochybr01,TSN Manager of the Year,1998,NL,,,,
139,torrejo01,TSN Manager of the Year,1998,AL,,,,
140,coxbo01,TSN Manager of the Year,1999,NL,,,,
141,williji03,TSN Manager of the Year,1999,AL,,,,
142,bakerdu01,TSN Manager of the Year,2000,NL,,,,
143,manueje01,TSN Manager of the Year,2000,AL,,,,
144,bowala01,TSN Manager of the Year,2001,NL,,,,
145,pinielo01,TSN Manager of the Year,2001,AL,,,,
146,coxbo01,TSN Manager of the Year,2002,NL,,,,
147,sciosmi01,TSN Manager of the Year,2002,AL,,,,
148,coxbo01,TSN Manager of the Year,2003,NL,,,,
149,penato01,TSN Manager of the Year,2003,AL,,,,
150,coxbo01,TSN Manager of the Year,2004,NL,,,,
151,gardero01,TSN Manager of the Year,2004,AL,,,,
152,coxbo01,TSN Manager of the Year,2005,NL,,,,
153,guilloz01,TSN Manager of the Year,2005,AL,,,,
154,girarjo01,TSN Manager of the Year,2006,NL,,,,
155,leylaji99,TSN Manager of the Year,2006,AL,,,,
156,melvibo01,TSN Manager of the Year,2007,NL,,,,
157,wedgeer01,TSN Manager of the Year,2007,AL,,,,
158,maddojo99,TSN Manager of the Year,2008,AL,,,,
159,gonzafr99,TSN Manager of the Year,2008,NL,,,,
160,sciosmi01,TSN Manager of the Year,2009,AL,,,,
161,tracyji01,TSN Manager of the Year,2009,NL,,,,
162,gardero01,TSN Manager of the Year,2010,AL,,,,
163,blackbu02,TSN Manager of the Year,2010,NL,,,,
164,maddojo99,TSN Manager of the Year,2011,AL,,,,
165,gibsoki01,TSN Manager of the Year,2011,NL,,,,
166,showabu99,TSN Manager of the Year,2012,AL,,,,
167,johnsda02,TSN Manager of the Year,2012,NL,,,,
168,farrejo03,TSN Manager of the Year,2013,AL,,,,
169,hurdlcl01,TSN Manager of the Year,2013,NL,,,,
170,showabu99,TSN Manager of the Year,2014,AL,,,,
171,willima04,TSN Manager of the Year,2014,NL,,,,
172,molitpa01,TSN Manager of the Year,2015,AL,,,,
173,collite99,TSN Manager of the Year,2015,NL,,,,
174,showabu99,BBWAA Manager of the Year,2014,AL,,,,
175,willima04,BBWAA Manager of the Year,2014,NL,,,,
176,banisje01,BBWAA Manager of the Year,2015,AL,,,,
177,maddojo99,BBWAA Manager of the Year,2015,NL,,,,
178,francte01,BBWAA Manager of the Year,2016,AL,,,,
179,roberda07,BBWAA Manager of the Year,2016,NL,,,,