id,year,league,teamName,teamID,Half,div,DivWin,Rank,games,wins,loses,createdAt,updatedAt
1,1981,NL,ATL,1981ATL,1,W,N,4,54,25,29,,
2,1981,NL,ATL,1981ATL,2,W,N,5,52,25,27,,
3,1981,AL,BAL,1981BAL,1,E,N,2,54,31,23,,
4,1981,AL,BAL,1981BAL,2,E,N,4,51,28,23,,
5,1981,AL,BOS,1981BOS,1,E,N,5,56,30,26,,
6,1981,AL,BOS,1981BOS,2,E,N,2,52,29,23,,
7,1981,AL,CAL,1981CAL,1,W,N,4,60,31,29,,
8,1981,AL,CAL,1981CAL,2,W,N,6,50,20,30,,
9,1981,AL,CHA,1981CHA,1,W,N,3,53,31,22,,
10,1981,AL,CHA,1981CHA,2,W,N,6,53,23,30,,
11,1981,NL,CHN,1981CHN,1,E,N,6,52,15,37,,
12,1981,NL,CHN,1981CHN,2,E,N,5,51,23,28,,
13,1981,NL,CIN,1981CIN,1,W,N,2,56,35,21,,
14,1981,NL,CIN,1981CIN,2,W,N,2,52,31,21,,
15,1981,AL,CLE,1981CLE,1,E,N,6,50,26,24,,
16,1981,AL,CLE,1981CLE,2,E,N,5,53,26,27,,
17,1981,AL,DET,1981DET,1,E,N,4,57,31,26,,
18,1981,AL,DET,1981DET,2,E,N,2,52,29,23,,
19,1981,NL,HOU,1981HOU,1,W,N,3,57,28,29,,
20,1981,NL,HOU,1981HOU,2,W,N,1,53,33,20,,
21,1981,AL,KCA,1981KCA,1,W,N,5,50,20,30,,
22,1981,AL,KCA,1981KCA,2,W,N,1,53,30,23,,
23,1981,NL,LAN,1981LAN,1,W,N,1,57,36,21,,
24,1981,NL,LAN,1981LAN,2,W,N,4,53,27,26,,
25,1981,AL,MIN,1981MIN,1,W,N,7,56,17,39,,
26,1981,AL,MIN,1981MIN,2,W,N,4,53,24,29,,
27,1981,AL,ML4,1981ML4,1,E,N,3,56,31,25,,
28,1981,AL,ML4,1981ML4,2,E,N,1,53,31,22,,
29,1981,NL,MON,1981MON,1,E,N,3,55,30,25,,
30,1981,NL,MON,1981MON,2,E,N,1,53,30,23,,
31,1981,AL,NYA,1981NYA,1,E,N,1,56,34,22,,
32,1981,AL,NYA,1981NYA,2,E,N,5,51,25,26,,
33,1981,NL,NYN,1981NYN,1,E,N,5,51,17,34,,
34,1981,NL,NYN,1981NYN,2,E,N,4,52,24,28,,
35,1981,AL,OAK,1981OAK,1,W,N,1,60,37,23,,
36,1981,AL,OAK,1981OAK,2,W,N,2,49,27,22,,
37,1981,NL,PHI,1981PHI,1,E,N,1,55,34,21,,
38,1981,NL,PHI,1981PHI,2,E,N,3,52,25,27,,
39,1981,NL,PIT,1981PIT,1,E,N,4,48,25,23,,
40,1981,NL,PIT,1981PIT,2,E,N,6,54,21,33,,
41,1981,NL,SDN,1981SDN,1,W,N,6,56,23,33,,
42,1981,NL,SDN,1981SDN,2,W,N,6,54,18,36,,
43,1981,AL,SEA,1981SEA,1,W,N,6,57,21,36,,
44,1981,AL,SEA,1981SEA,2,W,N,5,52,23,29,,
45,1981,NL,SFN,1981SFN,1,W,N,5,59,27,32,,
46,1981,NL,SFN,1981SFN,2,W,N,3,52,29,23,,
47,1981,NL,SLN,1981SLN,1,E,N,2,50,30,20,,
48,1981,NL,SLN,1981SLN,2,E,N,2,52,29,23,,
49,1981,AL,TEX,1981TEX,1,W,N,2,55,33,22,,
50,1981,AL,TEX,1981TEX,2,W,N,3,50,24,26,,
51,1981,AL,TOR,1981TOR,1,E,N,7,58,16,42,,
52,1981,AL,TOR,1981TOR,2,E,N,6,48,21,27,,